TIPO;NUMERO;DATA;PRECO;QTDE;LOCAL_ENTREGA;DESCRICAO_SITUACAO;CAM;PI;NOME_COLOQUIAL;PROCESSO_AIP
PO;1369660;08/10/2024;448000;1;AMAZONAS - AM;Com Ordem de Compra;B009;190019055;AMBULANCIA UTI;124/2023 - 25/07/2023
PO;1363659;01/07/2024;510000;2;RIO DE JANEIRO - RJ;Com Ordem de Compra;B001;190019055;AMBULANCIA UTI;139/2024 - 01/07/2024
EO;228988;14/12/2020;292900;1;RIO GRANDE DO SUL-RS ;Agregada ao Processo;B005;190019055;AMBULANCIA UTI;38/2021 - 12/02/2021
EO;228991;14/12/2020;292900;2;SÃO PAULO - SP;Parcialmente Atendida;B008;190019055;AMBULANCIA UTI;38/2021 - 12/02/2021
EO;228984;14/12/2020;292900;3;RIO DE JANEIRO - RJ;Parcialmente Atendida;B001;190019055;AMBULANCIA UTI;38/2021 - 12/02/2021
PO;1305645;19/07/2021;340000;1;RIO DE JANEIRO - RJ;Com Ordem de Compra;B001;190019055;AMBULANCIA UTI;38/2021 - 12/02/2021
PO;1305294;23/06/2021;340000;1;RIO DE JANEIRO - RJ;Com Ordem de Compra;B001;190019055;AMBULANCIA UTI;38/2021 - 12/02/2021
PO;1305370;19/07/2021;340000;1;RIO DE JANEIRO - RJ;Com Ordem de Compra;B001;190019055;AMBULANCIA UTI;38/2021 - 12/02/2021
PO;1309591;29/10/2021;355000;1;SÃO PAULO - SP;Com Ordem de Compra;B008;190019055;AMBULANCIA UTI;38/2021 - 12/02/2021
EO;211895;10/01/2020;317853;1;DISTRITO FEDERAL-DF  ;Agregada ao Processo;B007;190019055;AMBULANCIA UTI;55/2020 - 04/03/2020
EO;211894;28/02/2020;317853;2;MATO-GROSSO DO SUL - MS;Agregada ao Processo;B006;190019055;AMBULANCIA UTI;55/2020 - 04/03/2020
EO;211892;10/01/2020;317853;2;PARÁ-PA  ;Agregada ao Processo;B004;190019055;AMBULANCIA UTI;55/2020 - 04/03/2020
EO;211891;10/01/2020;317853;2;RIO GRANDE DO NORTE-RN  ;Agregada ao Processo;B003;190019055;AMBULANCIA UTI;55/2020 - 04/03/2020
EO;211893;10/01/2020;317853;1;RIO GRANDE DO SUL-RS ;Agregada ao Processo;B005;190019055;AMBULANCIA UTI;55/2020 - 04/03/2020
EO;211897;10/01/2020;317853;1;AMAZONAS-AM;Parcialmente Atendida;B009;190019055;AMBULANCIA UTI;55/2020 - 04/03/2020
EO;211890;10/01/2020;317853;1;BAHIA-BA ;Parcialmente Atendida;B002;190019055;AMBULANCIA UTI;55/2020 - 04/03/2020
EO;211896;10/01/2020;317853;3;SÃO PAULO - SP;Parcialmente Atendida;B008;190019055;AMBULANCIA UTI;55/2020 - 04/03/2020
EO;211888;10/01/2020;317853;6;RIO DE JANEIRO - RJ;Parcialmente Atendida;B001;190019055;AMBULANCIA UTI;55/2020 - 04/03/2020
PO;1292599;17/06/2020;294000;1;RIO DE JANEIRO - RJ;Aguardando OC;B001;190019055;AMBULANCIA UTI;55/2020 - 04/03/2020
PO;1300082;26/11/2020;292900;1;RIO DE JANEIRO - RJ;Aguardando OC;B001;190019055;AMBULANCIA UTI;55/2020 - 04/03/2020
PO;1296090;02/07/2020;294000;1;RIO DE JANEIRO - RJ;Aguardando OC;B001;190019055;AMBULANCIA UTI;55/2020 - 04/03/2020
PO;1299473;29/10/2020;292900;1;RIO DE JANEIRO - RJ;Aguardando OC;B001;190019055;AMBULANCIA UTI;55/2020 - 04/03/2020
PO;1294791;09/06/2020;294000;1;BAHIA - BA;Aguardando OC;B002;190019055;AMBULANCIA UTI;55/2020 - 04/03/2020
PO;1297892;17/08/2020;294000;1;SÃO PAULO - SP;Com Ordem de Compra;B008;190019055;AMBULANCIA UTI;55/2020 - 04/03/2020
PO;1297910;19/08/2020;294000;1;AMAZONAS - AM;Aguardando OC;B009;190019055;AMBULANCIA UTI;55/2020 - 04/03/2020
PO;1292936;14/04/2020;294000;1;SÃO PAULO - SP;Aguardando OC;B008;190019055;AMBULANCIA UTI;66/2018 - 18/05/2018
PO;1292937;14/04/2020;294000;1;AMAZONAS - AM;Aguardando OC;B009;190019055;AMBULANCIA UTI;66/2018 - 18/05/2018
EO;257659;10/03/2022;355000;2;AMAZONAS-AM;Agregada ao Processo;B009;190019055;AMBULANCIA UTI;85/2022 - 05/09/2022
EO;257657;10/03/2022;355000;2;DISTRITO FEDERAL-DF  ;Agregada ao Processo;B007;190019055;AMBULANCIA UTI;85/2022 - 05/09/2022
EO;257655;10/03/2022;355000;2;MATO-GROSSO DO SUL - MS;Agregada ao Processo;B006;190019055;AMBULANCIA UTI;85/2022 - 05/09/2022
EO;257653;10/03/2022;355000;2;PARÁ-PA  ;Agregada ao Processo;B004;190019055;AMBULANCIA UTI;85/2022 - 05/09/2022
EO;257651;10/03/2022;355000;3;RIO GRANDE DO NORTE-RN  ;Agregada ao Processo;B003;190019055;AMBULANCIA UTI;85/2022 - 05/09/2022
EO;257278;18/02/2022;355000;3;SÃO PAULO - SP;Agregada ao Processo;B008;190019055;AMBULANCIA UTI;85/2022 - 05/09/2022
EO;257649;10/03/2022;355000;2;BAHIA-BA ;Parcialmente Atendida;B002;190019055;AMBULANCIA UTI;85/2022 - 05/09/2022
EO;257276;18/02/2022;355000;11;RIO DE JANEIRO - RJ;Parcialmente Atendida;B001;190019055;AMBULANCIA UTI;85/2022 - 05/09/2022
PO;1346559;09/08/2023;505000;1;RIO DE JANEIRO - RJ;Com Ordem de Compra;B001;190019055;AMBULANCIA UTI;85/2022 - 05/09/2022
PO;1343788;14/06/2023;505000;1;RIO DE JANEIRO - RJ;Com Ordem de Compra;B001;190019055;AMBULANCIA UTI;85/2022 - 05/09/2022
PO;1347487;30/08/2023;505000;1;RIO DE JANEIRO - RJ;Com Ordem de Compra;B001;190019055;AMBULANCIA UTI;85/2022 - 05/09/2022
PO;1326272;21/09/2022;467000;1;RIO DE JANEIRO - RJ;Com Ordem de Compra;B001;190019055;AMBULANCIA UTI;85/2022 - 05/09/2022
PO;1342710;22/05/2023;505000;1;BAHIA - BA;Com Ordem de Compra;B002;190019055;AMBULANCIA UTI;85/2022 - 05/09/2022
EO;264092;05/01/2023;524800;2;PARÁ-PA  ;Parcialmente Atendida;B004;190019055;AMBULANCIA UTI;89/2023 - 09/01/2023
PO;1331234;20/12/2022;524800;1;PARÁ-PA  ;Com Ordem de Compra;B004;190019055;AMBULANCIA UTI;89/2023 - 09/01/2023
EO;244426;16/11/2021;100000;1;RIO DE JANEIRO - RJ;Parcialmente Atendida;B001;190023297;AUTOMOVEL ESPECIAL TIPO 03 PARA ODS;109/2022 - 19/04/2022
PO;1317237;19/04/2022;100000;1;RIO DE JANEIRO - RJ;Com Ordem de Compra;B001;190023297;AUTOMOVEL ESPECIAL TIPO 03 PARA ODS;109/2022 - 19/04/2022
EO;258774;04/05/2022;195000;2;DISTRITO FEDERAL-DF  ;Parcialmente Atendida;B007;190023297;AUTOMOVEL ESPECIAL TIPO 03 PARA ODS;115/2022 - 24/05/2022
EO;258776;04/05/2022;195000;1;RIO DE JANEIRO - RJ;Parcialmente Atendida;B001;190023297;AUTOMOVEL ESPECIAL TIPO 03 PARA ODS;115/2022 - 24/05/2022
PO;1317470;04/05/2022;195000;1;RIO DE JANEIRO - RJ;Com Ordem de Compra;B001;190023297;AUTOMOVEL ESPECIAL TIPO 03 PARA ODS;115/2022 - 24/05/2022
PO;1317468;04/05/2022;195000;1;DISTRITO FEDERAL - DF;Com Ordem de Compra;B007;190023297;AUTOMOVEL ESPECIAL TIPO 03 PARA ODS;115/2022 - 24/05/2022
PO;1317469;04/05/2022;195000;1;DISTRITO FEDERAL - DF;Com Ordem de Compra;B007;190023297;AUTOMOVEL ESPECIAL TIPO 03 PARA ODS;115/2022 - 24/05/2022
EO;272493;04/09/2023;190171;2;AMAZONAS-AM;Agregada ao Processo;B009;190023297;AUTOMOVEL ESPECIAL TIPO 03 PARA ODS;173/2023 - 07/12/2023
EO;272486;04/09/2023;190171;2;BAHIA-BA ;Agregada ao Processo;B002;190023297;AUTOMOVEL ESPECIAL TIPO 03 PARA ODS;173/2023 - 07/12/2023
EO;272490;04/09/2023;190171;2;MATO-GROSSO DO SUL - MS;Agregada ao Processo;B006;190023297;AUTOMOVEL ESPECIAL TIPO 03 PARA ODS;173/2023 - 07/12/2023
EO;272488;04/09/2023;190171;2;PARÁ-PA  ;Agregada ao Processo;B004;190023297;AUTOMOVEL ESPECIAL TIPO 03 PARA ODS;173/2023 - 07/12/2023
EO;272487;04/09/2023;190171;2;RIO GRANDE DO NORTE-RN  ;Agregada ao Processo;B003;190023297;AUTOMOVEL ESPECIAL TIPO 03 PARA ODS;173/2023 - 07/12/2023
EO;272489;04/09/2023;190171;2;RIO GRANDE DO SUL-RS ;Agregada ao Processo;B005;190023297;AUTOMOVEL ESPECIAL TIPO 03 PARA ODS;173/2023 - 07/12/2023
EO;272492;07/12/2023;190171;5;SÃO PAULO - SP;Agregada ao Processo;B008;190023297;AUTOMOVEL ESPECIAL TIPO 03 PARA ODS;173/2023 - 07/12/2023
EO;272491;07/12/2023;190171;5;DISTRITO FEDERAL-DF  ;Parcialmente Atendida;B007;190023297;AUTOMOVEL ESPECIAL TIPO 03 PARA ODS;173/2023 - 07/12/2023
EO;272484;07/12/2023;190171;12;RIO DE JANEIRO - RJ;Parcialmente Atendida;B001;190023297;AUTOMOVEL ESPECIAL TIPO 03 PARA ODS;173/2023 - 07/12/2023
PO;1360939;29/05/2024;173000;1;RIO DE JANEIRO - RJ;Com Ordem de Compra;B001;190023297;AUTOMOVEL ESPECIAL TIPO 03 PARA ODS;173/2023 - 07/12/2023
PO;1371839;12/11/2024;173000;1;RIO DE JANEIRO - RJ;Com Ordem de Compra;B001;190023297;AUTOMOVEL ESPECIAL TIPO 03 PARA ODS;173/2023 - 07/12/2023
PO;1371757;14/11/2024;173000;1;DISTRITO FEDERAL - DF;Com Ordem de Compra;B007;190023297;AUTOMOVEL ESPECIAL TIPO 03 PARA ODS;173/2023 - 07/12/2023
PO;1297740;11/08/2020;87500;1;RIO DE JANEIRO - RJ;Com Ordem de Compra;B001;190023297;AUTOMOVEL ESPECIAL TIPO 03 PARA ODS;97/2019 - 18/06/2019
PO;1299959;16/11/2020;87500;1;RIO DE JANEIRO - RJ;Com Ordem de Compra;B001;190023297;AUTOMOVEL ESPECIAL TIPO 03 PARA ODS;97/2019 - 18/06/2019
PO;1300006;19/11/2020;87500;1;RIO DE JANEIRO - RJ;Com Ordem de Compra;B001;190023297;AUTOMOVEL ESPECIAL TIPO 03 PARA ODS;97/2019 - 18/06/2019
PO;1299112;14/10/2020;100000;1;RIO DE JANEIRO - RJ;Atendido;B001;190023297;AUTOMOVEL ESPECIAL TIPO 03 PARA ODS;97/2019 - 18/06/2019
PO;1296049;30/06/2020;87500;1;RIO DE JANEIRO - RJ;Com Ordem de Compra;B001;190023297;AUTOMOVEL ESPECIAL TIPO 03 PARA ODS;97/2019 - 18/06/2019
PO;1297895;17/08/2020;87500;1;RIO DE JANEIRO - RJ;Com Ordem de Compra;B001;190023297;AUTOMOVEL ESPECIAL TIPO 03 PARA ODS;97/2019 - 18/06/2019
PO;1300172;26/11/2020;87500;3;RIO DE JANEIRO - RJ;Com Ordem de Compra;B001;190023297;AUTOMOVEL ESPECIAL TIPO 03 PARA ODS;97/2019 - 18/06/2019
PO;1299640;05/11/2020;87500;3;RIO DE JANEIRO - RJ;Com Ordem de Compra;B001;190023297;AUTOMOVEL ESPECIAL TIPO 03 PARA ODS;97/2019 - 18/06/2019
PO;1292919;14/04/2020;87500;1;RIO DE JANEIRO - RJ;Com Ordem de Compra;B001;190023297;AUTOMOVEL ESPECIAL TIPO 03 PARA ODS;97/2019 - 18/06/2019
PO;1300173;26/11/2020;87500;2;DISTRITO FEDERAL - DF;Com Ordem de Compra;B007;190023297;AUTOMOVEL ESPECIAL TIPO 03 PARA ODS;97/2019 - 18/06/2019
PO;1297211;24/07/2020;87500;1;DISTRITO FEDERAL - DF;Com Ordem de Compra;B007;190023297;AUTOMOVEL ESPECIAL TIPO 03 PARA ODS;97/2019 - 18/06/2019
PO;1299647;16/11/2020;87500;1;DISTRITO FEDERAL - DF;Com Ordem de Compra;B007;190023297;AUTOMOVEL ESPECIAL TIPO 03 PARA ODS;97/2019 - 18/06/2019
EO;222819;07/05/2021;87500;12;DISTRITO FEDERAL-DF  ;Agregada ao Processo;B007;190023297;AUTOMOVEL ESPECIAL TIPO 03 PARA ODS;99/2022 - 22/03/2022
EO;222816;07/05/2021;87500;1;PARÁ-PA  ;Agregada ao Processo;B004;190023297;AUTOMOVEL ESPECIAL TIPO 03 PARA ODS;99/2022 - 22/03/2022
EO;222813;16/11/2021;87500;13;RIO DE JANEIRO - RJ;Agregada ao Processo;B001;190023297;AUTOMOVEL ESPECIAL TIPO 03 PARA ODS;99/2022 - 22/03/2022
EO;258778;04/05/2022;49900;2;DISTRITO FEDERAL-DF  ;Agregada ao Processo;B007;190025919;AUTOMOVEL PARA SERVICO - 4 PORTAS - (SEDAN);120/2022 - 24/05/2022
EO;271613;05/07/2023;145700;8;AMAZONAS-AM;Agregada ao Processo;B009;190025919;AUTOMOVEL PARA SERVICO - 4 PORTAS - (SEDAN);152/2023 - 17/08/2023
EO;271606;28/07/2023;145700;4;BAHIA-BA ;Agregada ao Processo;B002;190025919;AUTOMOVEL PARA SERVICO - 4 PORTAS - (SEDAN);152/2023 - 17/08/2023
EO;271611;05/07/2023;145700;13;DISTRITO FEDERAL-DF  ;Agregada ao Processo;B007;190025919;AUTOMOVEL PARA SERVICO - 4 PORTAS - (SEDAN);152/2023 - 17/08/2023
EO;271610;05/07/2023;145700;4;MATO-GROSSO DO SUL - MS;Agregada ao Processo;B006;190025919;AUTOMOVEL PARA SERVICO - 4 PORTAS - (SEDAN);152/2023 - 17/08/2023
EO;271608;05/07/2023;145700;12;PARÁ-PA  ;Agregada ao Processo;B004;190025919;AUTOMOVEL PARA SERVICO - 4 PORTAS - (SEDAN);152/2023 - 17/08/2023
EO;271607;05/07/2023;145700;12;RIO GRANDE DO NORTE-RN  ;Agregada ao Processo;B003;190025919;AUTOMOVEL PARA SERVICO - 4 PORTAS - (SEDAN);152/2023 - 17/08/2023
EO;271609;05/07/2023;145700;4;RIO GRANDE DO SUL-RS ;Agregada ao Processo;B005;190025919;AUTOMOVEL PARA SERVICO - 4 PORTAS - (SEDAN);152/2023 - 17/08/2023
EO;271612;05/07/2023;145700;4;SÃO PAULO - SP;Agregada ao Processo;B008;190025919;AUTOMOVEL PARA SERVICO - 4 PORTAS - (SEDAN);152/2023 - 17/08/2023
EO;271605;05/07/2023;145700;26;RIO DE JANEIRO - RJ;Agregada ao Processo;B001;190025919;AUTOMOVEL PARA SERVICO - 4 PORTAS - (SEDAN);152/2023 - 17/08/2023
EO;257903;24/03/2022;49900;1;AMAZONAS-AM;Agregada ao Processo;B009;190025919;AUTOMOVEL PARA SERVICO - 4 PORTAS - (SEDAN);154/2022 - 20/09/2022
EO;257896;24/03/2022;49900;1;BAHIA-BA ;Agregada ao Processo;B002;190025919;AUTOMOVEL PARA SERVICO - 4 PORTAS - (SEDAN);154/2022 - 20/09/2022
EO;257901;24/03/2022;49900;5;DISTRITO FEDERAL-DF  ;Agregada ao Processo;B007;190025919;AUTOMOVEL PARA SERVICO - 4 PORTAS - (SEDAN);154/2022 - 20/09/2022
EO;257900;24/03/2022;49900;1;MATO-GROSSO DO SUL - MS;Agregada ao Processo;B006;190025919;AUTOMOVEL PARA SERVICO - 4 PORTAS - (SEDAN);154/2022 - 20/09/2022
EO;257899;24/03/2022;49900;1;RIO GRANDE DO SUL-RS ;Agregada ao Processo;B005;190025919;AUTOMOVEL PARA SERVICO - 4 PORTAS - (SEDAN);154/2022 - 20/09/2022
